S0	K	Call_Price	r	T
23802.26	23800	803	0.05	0.228
23802.26	24000	692	0.05	0.228
23802.26	24200	601	0.05	0.228
23802.26	24400	523	0.05	0.228
23802.26	24600	453	0.05	0.228
23802.26	24800	390	0.05	0.228
23802.26	25000	334	0.05	0.228
23802.26	25200	284	0.05	0.228
23802.26	25400	240	0.05	0.228
23802.26	23800	949	0.05	0.344
23802.26	24000	848	0.05	0.344
23802.26	24200	760	0.05	0.344
23802.26	24400	679	0.05	0.344
23802.26	24600	604	0.05	0.344
23802.26	24800	534	0.05	0.344
23802.26	25000	471	0.05	0.344
23802.26	25200	413	0.05	0.344
23802.26	25400	361	0.05	0.344
